Row,StaBMA,Sta,X,Y,Date,GROUND,WL0,Day11,Day12,Day13,Day14,Day15,Day16,Day17,Day18
1,E03,E1,687636.15,1533223.8,10/31/2011,2,0,2.02,2.01,1.97,1.95,1.88,1.79,1.67,1.57
2,E19,E10,672695.38,1519614.21,10/31/2011,1,0,-0.05,-0.05,-0.08,-0.11,-0.08,-0.09,-0.32,-0.34
3,E22,E11,682471.21,1517904.06,10/31/2011,2,0,0.41,0.43,0.44,0.45,0.45,0.4,0.31,0.19
4,E24,E12,678077.45,1516719.23,10/31/2011,2,0,0.24,0.27,0.27,0.27,0.27,0.23,0.1,0.02
5,E26,E13,672842.67,1516297.8,10/31/2011,2,0,-0.12,-0.16,-0.3,-0.32,-0.32,-0.24,-0.4,-0.4
6,E09,E14,691300.7,1526366.94,10/31/2011,2,0,1.46,1.45,1.43,1.41,1.38,1.28,1.22,0.89
7,E33,E15,672225.21,1509648.39,10/31/2011,1,0,-0.89,-0.93,-1.02,-1.08,-1.02,-0.96,-0.9,-1
8,E31,E16,671631.59,1512362.07,10/31/2011,2,0,-0.28,-0.15,-0.27,-0.3,-0.42,-0.35,-0.4,-0.5
9,E49,E17,698225.4,1516340.66,10/31/2011,2,0,0.6,0.61,0.61,0.61,0.66,0.53,0.45,0.38
10,E50,E18,679899.14,1512404.09,10/31/2011,2,0,0.2,0.19,0.2,0.21,0.2,0.19,0.1,-0.01
11,E48,E19,693835.41,1518189.15,10/31/2011,3,0,0.7,0.71,0.72,0.71,0.71,0.64,0.53,0.43
12,E11,E2,684210.94,1525903.94,10/31/2011,1,0,1.04,1.04,1.03,1.02,1,0.9,0.78,0.68
13,E47,E20,698683.41,1526216.17,10/31/2011,4,0,1.28,1.28,1.27,1.26,1.23,1.16,1.07,0.95
14,E07,E3,689424.91,1528913.37,10/31/2011,2,0,1.64,1.63,1.61,1.59,1.56,1.46,1.35,1.2
15,E34,E4,701405.22,1533302.92,10/31/2011,2,1.62,1.83,1.82,1.82,1.81,1.79,1.71,1.63,1.5
16,E43,E5,701545.95,1534750.77,10/31/2011,2,0,1.65,1.64,1.62,1.6,1.55,1.46,1.36,1.26
17,E21,E6,689389.69,1517970.64,10/31/2011,2,0,0.7,0.7,0.71,0.71,0.69,0.63,0.53,0.43
18,E32,E7,677602.26,1510896.73,10/31/2011,2,0,-1.28,-1.28,-1.28,-1.28,-1.28,-1.28,-1.3,-1.33
19,E45,E8,710349.09,1527944.08,10/31/2011,2,0,1.41,0,0,1.4,1.38,1.3,1.23,1.11
20,E06,E9,680365.4,1530572.79,10/31/2011,2,0,1.69,1.68,1.67,1.65,1.61,1.57,1.48,1.36
21,E04,N1,672126.01,1532403.78,10/31/2011,2,0,1.57,1.56,1.54,1.52,1.43,1.31,1.17,0.99
22,E10,N2,664664.92,1525827.63,10/31/2011,2,0,-0.31,-0.32,-0.45,-0.4,-0.7,-0.75,-0.6,-0.8
23,E12,N3,672288.21,1525612.35,10/31/2011,1,0,0.78,0.75,0.71,0.68,0.54,0.48,0.3,0.17
